phone_number,email,credit_score,age_group,family_background,income,comments,intent
+91-9696487462,deleonjeffrey@example.com,501,36-50,Married,919208,now soon later,0
+91-9383782540,richardbrown@example.com,449,26-35,Single,494265,not interested,0
+91-9301920016,haneyann@example.com,666,26-35,Married,519837,now,1
+91-9958634142,woodsbrooke@example.net,406,36-50,Married with Kids,272824,interested immediately,0
+91-9970493952,greenbrenda@example.net,338,18-25,Married with Kids,227630,later immediately soon,0
+91-9416771585,matthew64@example.org,709,51+,Married,127589,maybe now soon,1
+91-9656304670,david06@example.org,322,26-35,Married with Kids,791528,later urgent,1
+91-9775078122,stoneanthony@example.com,734,18-25,Married,496442,urgent soon,0
+91-9089801685,yparks@example.com,415,36-50,Single,632669,immediately,0
+91-9964481997,lopezoscar@example.org,635,36-50,Married,795383,interested not interested,1
+91-9926860505,linda69@example.net,413,18-25,Married,428625,maybe not interested immediately,0
+91-9939187205,hwalsh@example.org,401,18-25,Married,335270,immediately soon,0
+91-9034609721,destiny19@example.net,543,51+,Married,887148,soon maybe,1
+91-9460302435,collin05@example.com,482,26-35,Married,189364,now soon immediately,0
+91-9452043047,weaveranthony@example.net,682,51+,Single,422573,maybe urgent later,1
+91-9393026967,bradleyjoseph@example.com,391,36-50,Married with Kids,574524,interested,0
+91-9906842207,dsandoval@example.org,803,36-50,Married with Kids,581768,immediately not interested,1
+91-9458506175,millermichelle@example.net,725,26-35,Married,636050,soon maybe,1
+91-9049887938,rsmith@example.org,521,18-25,Single,655382,not interested,1
+91-9517614211,brownjessica@example.net,738,51+,Single,970823,later,0
+91-9314941966,millerjoshua@example.net,466,18-25,Single,741255,urgent soon immediately,0
+91-9203254950,qspencer@example.org,593,26-35,Married,359928,urgent now immediately,1
+91-9877439970,jameswilliams@example.org,788,26-35,Married with Kids,215109,immediately interested soon,0
+91-9863837183,rosskathleen@example.net,734,51+,Married with Kids,644700,soon later,0
+91-9771614486,christine59@example.org,828,51+,Single,667079,interested soon,1
+91-9079215794,kellyking@example.net,817,26-35,Single,450124,later now,1
+91-9965743761,lopezrebecca@example.org,457,36-50,Married with Kids,405213,interested urgent,1
+91-9292018256,morrowsheila@example.net,804,36-50,Married with Kids,278872,now not interested,0
+91-9141452020,mario83@example.net,388,18-25,Single,546767,later now,0
+91-9258502887,nguyensteven@example.net,449,36-50,Single,348746,urgent maybe immediately,0
+91-9958653724,smoreno@example.org,515,51+,Single,456594,not interested,0
+91-9128795026,kevinvilla@example.net,520,36-50,Married,927545,now immediately,0
+91-9895151867,mauricecarroll@example.org,572,36-50,Married with Kids,758633,urgent,0
+91-9782091596,erose@example.net,726,18-25,Married with Kids,115365,urgent immediately interested,1
+91-9235166867,krobertson@example.com,510,26-35,Single,695383,now,0
+91-9568944771,melodysanchez@example.net,768,18-25,Married with Kids,252414,maybe,1
+91-9819719929,tonyayoung@example.com,541,18-25,Married with Kids,946397,urgent,0
+91-9261628403,molly12@example.org,631,26-35,Single,840046,immediately now not interested,0
+91-9877978553,foxjohn@example.net,752,26-35,Single,483092,interested now,0
+91-9902198914,clarkchristina@example.net,687,51+,Single,682490,immediately not interested maybe,0
+91-9948232909,samanthamahoney@example.com,849,51+,Married with Kids,439697,soon not interested maybe,1
+91-9235648427,nicolesuarez@example.org,711,36-50,Married with Kids,365197,not interested interested maybe,1
+91-9961434368,nblackwell@example.com,552,18-25,Single,429300,interested now,1
+91-9439004957,hooverjessica@example.com,364,26-35,Single,871072,soon now maybe,1
+91-9825972529,fstrickland@example.net,703,51+,Married with Kids,892970,interested,1
+91-9526267246,sking@example.net,386,26-35,Married with Kids,783165,interested,1
+91-9839546953,michael62@example.com,814,51+,Single,392942,immediately urgent,1
+91-9961297486,wernertaylor@example.com,397,18-25,Married with Kids,514140,now,1
+91-9321602512,ashley96@example.com,359,36-50,Married with Kids,509386,later,0
+91-9314755344,ycannon@example.org,428,51+,Married,484781,later not interested,0
+91-9577017717,pgonzales@example.org,467,51+,Married with Kids,769898,now,1
+91-9774524591,danielle43@example.com,704,18-25,Single,608080,maybe immediately not interested,0
+91-9911995041,rebeccamcdonald@example.org,837,26-35,Single,781151,interested not interested immediately,1
+91-9958574208,swright@example.com,764,51+,Married with Kids,432589,maybe now immediately,0
+91-9389274587,denisesalinas@example.org,509,26-35,Married with Kids,631752,urgent not interested maybe,1
+91-9400266354,bonniebrown@example.net,834,51+,Married,156619,interested immediately not interested,0
+91-9242105421,ejoseph@example.com,764,36-50,Single,549874,soon,0
+91-9795830503,diane17@example.com,835,51+,Married with Kids,284343,later,0
+91-9701114615,martinezshelley@example.com,376,51+,Married,360761,interested later immediately,0
+91-9314467296,briancruz@example.com,690,36-50,Married,491189,not interested,1
+91-9237248402,paul16@example.org,645,26-35,Single,921816,later immediately,1
+91-9254178146,peggy56@example.net,431,36-50,Married,433516,not interested urgent,1
+91-9302484013,xwolfe@example.net,538,36-50,Married,802170,not interested interested soon,1
+91-9696363089,faith23@example.net,437,18-25,Single,482691,later soon now,1
+91-9615799880,zmorris@example.net,321,26-35,Single,740265,not interested,0
+91-9785345506,lawsonkatherine@example.com,680,51+,Single,711926,not interested immediately soon,1
+91-9493418104,kthomas@example.com,735,18-25,Married,578897,not interested,0
+91-9101985951,betty86@example.com,326,18-25,Single,196966,interested maybe now,0
+91-9690870445,dwashington@example.net,465,51+,Single,576391,soon now later,0
+91-9762711581,shines@example.net,778,36-50,Single,513990,soon,0
+91-9880549121,tannerbowman@example.net,406,18-25,Married,707388,maybe,0
+91-9176960837,oellison@example.com,587,26-35,Married,825319,soon interested not interested,1
+91-9353525040,bjames@example.net,356,26-35,Married with Kids,663867,maybe not interested,0
+91-9725331115,stephanie48@example.net,418,26-35,Married with Kids,595769,soon now,1
+91-9906967961,nancyquinn@example.com,722,51+,Married with Kids,476922,soon later,0
+91-9633722313,wroth@example.net,368,18-25,Married,643802,interested now,0
+91-9424307860,christine35@example.org,435,51+,Married with Kids,552394,later not interested,0
+91-9617779282,aoliver@example.com,728,36-50,Married with Kids,199770,soon,0
+91-9709700190,sullivanmary@example.org,523,18-25,Married with Kids,244763,soon not interested later,0
+91-9943409773,floresbenjamin@example.com,846,51+,Married with Kids,730031,now,1
+91-9266118332,paulsimpson@example.net,655,36-50,Married,569236,maybe soon,0
+91-9813202094,anthonygreen@example.org,400,18-25,Married with Kids,573770,not interested maybe,1
+91-9518809707,sbarnett@example.net,369,51+,Married,591558,interested,0
+91-9725732299,norman85@example.com,403,18-25,Married with Kids,991126,not interested later now,0
+91-9020551934,hmanning@example.net,825,51+,Married with Kids,807169,not interested now urgent,0
+91-9971087823,eric01@example.org,703,18-25,Single,175092,urgent immediately,1
+91-9900317661,eric76@example.org,679,36-50,Married with Kids,343480,immediately,0
+91-9483729149,bradley25@example.org,420,51+,Married,609993,maybe urgent,1
+91-9212338276,yharvey@example.com,543,51+,Married with Kids,968676,urgent,0
+91-9292041869,kleinsteven@example.com,743,36-50,Single,611287,not interested soon interested,1
+91-9970057144,morgananthony@example.net,375,36-50,Married with Kids,621481,not interested,0
+91-9966505880,pricekelly@example.org,322,36-50,Single,335808,interested urgent,0
+91-9159072558,darrell71@example.org,713,51+,Married,141019,urgent interested,0
+91-9556991178,matthew86@example.net,504,51+,Married,616892,interested,0
+91-9725961553,hfinley@example.net,417,18-25,Married,503875,soon,0
+91-9072667840,omaxwell@example.net,731,36-50,Married with Kids,542066,soon,1
+91-9669510005,wwright@example.com,830,26-35,Married with Kids,141282,now soon,1
+91-9576262031,lhays@example.com,595,36-50,Married,264080,not interested,0
+91-9489098655,laceyrodriguez@example.org,398,18-25,Married with Kids,451820,immediately now later,0
+91-9339696169,chadclark@example.org,767,26-35,Married with Kids,248057,maybe not interested,1
+91-9483294576,williambishop@example.org,768,51+,Married,753447,immediately soon,1
+91-9722767797,steven40@example.org,799,18-25,Single,627731,interested,1
+91-9312202856,martinsheila@example.org,566,51+,Single,204776,later interested,0
+91-9911569611,marilynbass@example.org,797,26-35,Married with Kids,730472,soon urgent not interested,0
+91-9468263743,gpowers@example.org,547,36-50,Married with Kids,790548,interested immediately later,1
+91-9230236263,julierogers@example.net,794,18-25,Married,800282,urgent immediately,1
+91-9962993797,teresalloyd@example.net,326,18-25,Married with Kids,937274,immediately,0
+91-9688315546,donna96@example.com,654,26-35,Single,246977,maybe immediately,0
+91-9253773913,jsullivan@example.com,597,26-35,Single,566568,now interested urgent,1
+91-9260321983,danielle93@example.net,523,18-25,Married,360483,not interested now interested,0
+91-9602348305,baileywatson@example.com,628,18-25,Single,694289,soon,1
+91-9980277240,michael80@example.com,748,26-35,Married,734704,immediately,1
+91-9123917095,coxbrandon@example.net,724,18-25,Married,505164,maybe,1
+91-9846909049,scottleonard@example.com,845,18-25,Married,809423,interested immediately not interested,1
+91-9039946274,ilarsen@example.org,613,26-35,Married with Kids,297560,urgent,1
+91-9743539242,karlyoung@example.org,827,51+,Married with Kids,231636,later interested,0
+91-9896096836,debbiebennett@example.net,791,51+,Married with Kids,744210,interested,1
+91-9777834449,donna14@example.net,687,36-50,Married with Kids,828264,maybe immediately later,0
+91-9625460837,baileyjill@example.net,587,26-35,Married,594128,soon later,0
+91-9540454260,kathrynball@example.com,735,36-50,Married,421285,urgent interested,0
+91-9316583296,thomaschristine@example.com,481,18-25,Married,629726,not interested,0
+91-9748450632,raydawn@example.net,569,51+,Married with Kids,532020,later urgent interested,0
+91-9550989578,brownwillie@example.net,691,51+,Married,993255,not interested,0
+91-9890155028,jacob74@example.com,747,36-50,Married with Kids,185042,interested now later,0
+91-9925531418,andrea90@example.com,636,26-35,Single,872460,immediately maybe soon,1
+91-9369718723,heathergonzales@example.net,799,26-35,Single,126284,not interested maybe,0
+91-9187673427,hmaddox@example.net,513,36-50,Single,638569,maybe,1
+91-9051703859,marshlaura@example.net,413,51+,Single,789651,later not interested maybe,1
+91-9030652778,crystal52@example.com,706,18-25,Married,714051,not interested urgent maybe,0
+91-9799355373,anthony25@example.net,348,36-50,Married with Kids,486479,urgent,1
+91-9826618232,cookpatrick@example.org,791,18-25,Married with Kids,556269,maybe,0
+91-9348273378,portersummer@example.net,676,18-25,Married with Kids,301182,urgent interested now,1
+91-9699588747,destiny54@example.org,404,26-35,Single,735026,interested later soon,0
+91-9035724616,jesushoffman@example.org,726,51+,Married with Kids,432473,interested later,0
+91-9788288804,kendrajames@example.com,347,51+,Married,712510,maybe urgent later,0
+91-9151784542,leekathleen@example.com,404,51+,Married,591501,interested now,0
+91-9881234949,christian46@example.org,536,36-50,Single,334722,immediately,0
+91-9647138377,meredith59@example.org,586,51+,Single,297713,later,0
+91-9153763889,rodriguezcarrie@example.org,618,26-35,Married with Kids,363558,soon,1
+91-9001822866,zcolon@example.net,518,26-35,Married,668802,later,1
+91-9947676794,lowerylaura@example.org,337,26-35,Married with Kids,560082,not interested,0
+91-9398098409,jsullivan@example.net,825,18-25,Married,769703,not interested later,1
+91-9051959503,lopeznorman@example.com,475,26-35,Married,242794,immediately later urgent,0
+91-9308441954,james66@example.com,340,51+,Married,620557,interested urgent now,0
+91-9009577446,vaughnmaria@example.org,748,51+,Married,409978,now soon maybe,0
+91-9950120199,ericanderson@example.net,574,51+,Single,379462,urgent maybe,0
+91-9690098831,ytaylor@example.org,598,51+,Married with Kids,416033,immediately soon maybe,1
+91-9400241416,johnsonsydney@example.net,640,18-25,Married,213005,now urgent interested,0
+91-9647651122,joeljones@example.com,686,36-50,Single,954405,soon not interested maybe,0
+91-9583401892,angelasolomon@example.net,592,51+,Married,138415,immediately maybe soon,1
+91-9639776606,melinda04@example.net,671,36-50,Single,173083,now immediately soon,1
+91-9460554303,xwilliams@example.com,378,18-25,Married with Kids,524371,now later,1
+91-9761382092,swalker@example.net,306,36-50,Married with Kids,436710,later,0
+91-9749372020,qvasquez@example.org,311,36-50,Single,903168,interested maybe,1
+91-9361146192,christinephillips@example.com,830,36-50,Single,605354,soon immediately urgent,0
+91-9154558892,scastillo@example.com,366,36-50,Single,445529,immediately soon urgent,1
+91-9503192280,hjordan@example.org,773,18-25,Married,254276,immediately later,0
+91-9911234863,halldavid@example.com,587,51+,Married,994540,urgent now later,1
+91-9658523871,josephbeard@example.net,527,18-25,Single,194997,not interested immediately soon,0
+91-9344689718,jerry27@example.net,719,36-50,Married,515316,now urgent,0
+91-9212585799,rmartin@example.org,687,18-25,Married with Kids,697652,immediately,1
+91-9801474719,thomasmendez@example.net,528,51+,Married with Kids,874956,soon immediately,0
+91-9203130916,fvaldez@example.org,519,51+,Single,202429,soon,0
+91-9949136836,andrea18@example.com,817,26-35,Married with Kids,124287,urgent soon later,0
+91-9774397098,howeangela@example.net,654,51+,Married with Kids,307744,later,0
+91-9522835093,ddeleon@example.org,374,18-25,Single,119211,urgent,1
+91-9084834561,thorntonscott@example.net,395,51+,Single,336918,not interested immediately,0
+91-9683902784,bakeralison@example.net,610,51+,Single,786490,urgent not interested,0
+91-9692814356,amy01@example.org,591,18-25,Married,380515,later,1
+91-9580868307,thompsonnathan@example.net,303,18-25,Single,273765,urgent now,0
+91-9628900665,richardbrown@example.org,583,36-50,Married with Kids,859385,now not interested immediately,0
+91-9113560588,tmendez@example.org,579,18-25,Married,301675,immediately soon,0
+91-9247701342,paul98@example.com,652,51+,Married with Kids,701691,immediately,0
+91-9170138495,awallace@example.org,550,36-50,Married,399559,now not interested,0
+91-9098293941,tiffany79@example.net,503,51+,Married with Kids,617625,now interested maybe,0
+91-9199412955,snguyen@example.net,742,18-25,Single,919980,interested,1
+91-9799819706,berrymark@example.net,575,26-35,Single,938559,immediately,1
+91-9400364684,travishill@example.com,317,51+,Single,515448,urgent interested soon,0
+91-9002709722,emily92@example.net,767,36-50,Married with Kids,419203,now urgent,1
+91-9159149087,megancamacho@example.com,778,36-50,Married with Kids,135403,interested soon not interested,1
+91-9477453538,hayesdaniel@example.com,562,26-35,Married with Kids,717763,immediately now,1
+91-9647749714,cwheeler@example.org,632,36-50,Married with Kids,457415,later,0
+91-9292690961,lbullock@example.org,775,18-25,Married with Kids,217775,later,1
+91-9567782681,carlosfisher@example.com,693,18-25,Single,816345,interested now,0
+91-9028112447,sperry@example.org,801,36-50,Married,114534,interested,1
+91-9113287041,trujillorobin@example.com,338,51+,Single,794431,soon later,1
+91-9365511836,brian60@example.org,697,36-50,Married with Kids,955746,now immediately,1
+91-9215342655,denise94@example.org,649,26-35,Married with Kids,259134,now urgent,0
+91-9976416507,fmitchell@example.net,803,51+,Single,873434,later,1
+91-9110492279,mcclurelori@example.net,712,26-35,Married with Kids,624722,now interested,1
+91-9112839852,ramirezdebra@example.com,444,51+,Married with Kids,522203,immediately,1
+91-9915142494,april21@example.com,622,18-25,Married with Kids,553512,now soon later,0
+91-9621663821,jbrown@example.org,810,18-25,Married,849260,now maybe,1
+91-9102429201,graymichael@example.org,710,18-25,Married with Kids,276632,now,1
+91-9152610709,gordonlisa@example.net,740,36-50,Married with Kids,697295,interested urgent not interested,1
+91-9801630849,smithtara@example.net,420,18-25,Single,440978,urgent,0
+91-9608732123,holmessteven@example.org,610,51+,Married,364056,interested immediately,0
+91-9026990493,donna48@example.net,450,18-25,Married,158242,urgent,0
+91-9821452711,jacquelineclark@example.org,672,36-50,Married,987937,later interested urgent,1
+91-9453934103,tammyhenson@example.com,479,51+,Married with Kids,935955,now,1
+91-9363652939,lanewarren@example.net,627,26-35,Married with Kids,704756,urgent later,1
+91-9439872068,dianawarner@example.com,769,36-50,Single,331008,not interested urgent now,1
+91-9209903490,cmartinez@example.com,559,26-35,Single,691985,interested,0
+91-9402115275,patriciagaines@example.com,334,51+,Married,499511,soon,0
+91-9556703138,jordantim@example.com,415,18-25,Married,465071,immediately,0
+91-9096273158,rmartinez@example.com,634,51+,Married with Kids,970643,now,1
+91-9144333607,lopezstephanie@example.org,383,18-25,Married with Kids,425560,soon urgent not interested,0
+91-9155194016,kelseycohen@example.com,335,51+,Married,197138,soon,0
+91-9260410612,sarah75@example.net,587,36-50,Married with Kids,334352,later,0
+91-9357103135,robertsmith@example.org,402,36-50,Married,861475,interested maybe,1
+91-9769349581,carrillotodd@example.org,542,18-25,Married,161046,immediately,0
+91-9749251192,eperez@example.org,328,18-25,Married,291638,not interested immediately,0
+91-9714507787,antonio56@example.org,664,36-50,Married,634493,interested immediately soon,1
+91-9988641755,staceyjackson@example.com,638,51+,Married with Kids,960495,interested,0
+91-9127646010,riveranancy@example.org,816,36-50,Married,378646,now maybe immediately,0
+91-9937820607,amosley@example.com,372,18-25,Single,713368,not interested urgent now,0
+91-9433576848,zacharyhenderson@example.com,579,36-50,Single,257126,urgent later immediately,0
+91-9916306941,hturner@example.net,383,26-35,Married,441136,urgent later,0
+91-9923855659,bradleyarmstrong@example.net,659,51+,Married with Kids,270405,later interested,1
+91-9252178319,benjaminjohn@example.com,403,36-50,Single,381791,now not interested,0
+91-9998714277,samantha99@example.net,521,18-25,Married,770204,urgent later soon,0
+91-9877201709,middletonamy@example.org,792,36-50,Married with Kids,499028,soon later,0
+91-9912999803,susan26@example.net,690,51+,Married with Kids,576097,urgent soon,1
+91-9156466305,terrance84@example.org,670,18-25,Married,698102,immediately now,0
+91-9642593646,shawn27@example.org,624,26-35,Single,944871,not interested now urgent,1
+91-9043091213,brownjeffrey@example.com,770,18-25,Single,464423,later,0
+91-9198561857,ymccormick@example.net,556,36-50,Married,682718,maybe interested,1
+91-9386793597,lindsay56@example.com,701,51+,Married,770794,not interested later soon,1
+91-9412406277,gregory81@example.org,488,36-50,Married with Kids,114084,not interested interested maybe,0
+91-9954362903,gjohnson@example.org,497,36-50,Married with Kids,361388,urgent,1
+91-9981252037,delgadokeith@example.com,370,51+,Married with Kids,915180,immediately not interested urgent,0
+91-9820175981,phameric@example.com,646,26-35,Married with Kids,320166,not interested soon,0
+91-9876671488,igraham@example.net,535,18-25,Single,873628,now soon not interested,1
+91-9700321924,awhite@example.org,565,36-50,Married with Kids,381053,maybe immediately,0
+91-9770559262,bbradley@example.net,792,51+,Married with Kids,285695,later,1
+91-9345281335,cheryl66@example.org,576,51+,Married with Kids,184921,soon urgent,1
+91-9569973636,mallorybass@example.org,547,26-35,Married with Kids,125019,maybe immediately now,1
+91-9305976759,kenneth64@example.net,553,18-25,Married with Kids,929694,now urgent,0
+91-9951937321,juliethompson@example.com,685,18-25,Single,111832,now interested,0
+91-9722797743,karen53@example.org,711,36-50,Married with Kids,953042,soon immediately not interested,1
+91-9167360154,david93@example.net,499,18-25,Married with Kids,935473,urgent soon maybe,1
+91-9457617464,ernest92@example.com,322,18-25,Single,808690,maybe interested,1
+91-9496979450,jessemckinney@example.com,557,36-50,Single,356347,maybe,1
+91-9899040261,morristara@example.net,371,36-50,Single,134396,now not interested interested,0
+91-9642441460,elizabeth83@example.com,383,26-35,Married with Kids,504073,immediately interested,0
+91-9159851094,patty43@example.com,829,51+,Single,575556,not interested interested now,0
+91-9442207901,danny39@example.org,515,51+,Married with Kids,181242,urgent soon,0
+91-9943942626,rwatson@example.org,545,51+,Married with Kids,138852,immediately,1
+91-9594830466,daniel08@example.org,600,18-25,Single,982409,urgent,1
+91-9384139330,marybecker@example.net,368,18-25,Single,135038,not interested,0
+91-9111036884,yhardin@example.com,612,18-25,Married with Kids,173075,maybe,1
+91-9003143620,alan18@example.com,651,26-35,Married,431409,now,0
+91-9753301317,lewisanne@example.org,304,18-25,Single,273624,not interested,0
+91-9488688378,johnsonpeter@example.com,535,26-35,Single,153378,now later,1
+91-9141304720,ortegaraymond@example.com,729,26-35,Married,156763,soon later,1
+91-9236811997,caleb09@example.net,414,51+,Married,634310,soon now urgent,0
+91-9765171685,joann39@example.net,380,26-35,Married with Kids,691856,later interested maybe,0
+91-9457931476,ewood@example.org,497,36-50,Single,553315,soon later,0
+91-9835979197,eterry@example.org,341,18-25,Single,766759,not interested maybe now,1
+91-9664391517,randy78@example.net,371,36-50,Married with Kids,138822,interested,0
+91-9297082123,zacharybrown@example.net,345,51+,Married,984099,immediately,1
+91-9215214332,tbradford@example.com,427,36-50,Married with Kids,950664,interested urgent immediately,1
+91-9606601534,bakerdavid@example.org,793,51+,Single,789301,interested,1
+91-9898927965,melissa18@example.net,704,26-35,Married,935314,later now,0
+91-9996857729,molly95@example.org,570,26-35,Married with Kids,325424,not interested interested later,0
+91-9902549888,larry55@example.com,464,18-25,Married with Kids,887777,later immediately,0
+91-9395178304,agonzalez@example.net,471,18-25,Married with Kids,786491,maybe immediately later,1
+91-9226257338,monicafreeman@example.com,510,51+,Single,680366,now maybe interested,0
+91-9263746104,april04@example.com,664,26-35,Married,374844,soon not interested,0
+91-9446185254,anthonycampbell@example.org,555,26-35,Married,397838,soon urgent immediately,1
+91-9352045042,pgomez@example.org,643,18-25,Married with Kids,239145,later not interested,0
+91-9450909556,cwoodard@example.org,814,36-50,Married,327696,interested soon now,0
+91-9811048324,jhill@example.com,819,26-35,Married with Kids,323157,urgent,1
+91-9838047817,jennifermaxwell@example.com,537,36-50,Married with Kids,685995,urgent interested,1
+91-9690642945,steven97@example.com,551,36-50,Married,397415,not interested maybe,0
+91-9215840869,rhoffman@example.com,588,18-25,Married,470893,soon,0
+91-9482295433,kanderson@example.net,400,36-50,Married,675095,soon later,0
+91-9099051782,gsanders@example.net,323,26-35,Married with Kids,119727,not interested immediately urgent,1
+91-9988953090,dstephens@example.org,499,51+,Married with Kids,261285,soon interested,0
+91-9808653855,kristenstephens@example.org,838,36-50,Married with Kids,603813,now interested not interested,1
+91-9045698425,cshepard@example.com,736,26-35,Married,224907,not interested urgent,1
+91-9632246500,taylormichele@example.com,543,18-25,Single,307535,interested maybe,0
+91-9713054834,donaldmercado@example.org,811,51+,Single,986287,maybe urgent interested,1
+91-9576197867,davidwells@example.com,515,51+,Married,258911,soon,0
+91-9106072929,mccarthyjennifer@example.org,456,36-50,Married with Kids,858490,soon not interested maybe,1
+91-9192476467,jeff22@example.com,718,36-50,Single,275824,interested later,1
+91-9495601159,simmonscole@example.com,778,26-35,Married with Kids,808181,not interested urgent,1
+91-9869266727,vnewman@example.org,730,51+,Married,646630,not interested interested,0
+91-9753752505,tiffanycunningham@example.com,365,36-50,Married with Kids,448159,immediately,0
+91-9885242457,patrick38@example.org,821,51+,Married,891414,urgent,1
+91-9416729813,nashwanda@example.com,387,51+,Married,346891,soon now,1
+91-9694835143,jenniferwallace@example.com,508,36-50,Married with Kids,156809,immediately soon,0
+91-9056364223,brandy41@example.net,715,26-35,Married,190884,soon maybe now,0
+91-9195017804,stevenmartinez@example.org,485,36-50,Married,225494,later,0
+91-9445682926,jamesbridges@example.com,362,36-50,Married,344865,immediately,0
+91-9371392380,richardsdaniel@example.net,372,18-25,Married,992933,not interested urgent interested,1
+91-9143734361,kristinayork@example.org,761,51+,Married,320292,now interested immediately,0
+91-9342902731,bshepard@example.org,681,26-35,Single,184000,interested,1
+91-9007033502,harpermary@example.org,583,51+,Married with Kids,613495,now interested,0
+91-9005802712,caleb56@example.com,522,18-25,Single,120976,interested,1
+91-9647041109,cantuchristopher@example.net,326,18-25,Married with Kids,950103,interested urgent,0
+91-9204988392,emily80@example.net,764,36-50,Single,406332,maybe,1
+91-9059760658,potterjonathan@example.org,738,36-50,Married,483643,soon immediately,0
+91-9976123423,ryanpadilla@example.org,736,26-35,Single,805723,urgent interested,0
+91-9732324116,maria75@example.org,340,51+,Married with Kids,676609,now soon urgent,0
+91-9186594382,jamessamantha@example.com,593,26-35,Married with Kids,109935,later immediately,0
+91-9972966785,kennedyebony@example.org,390,36-50,Single,664068,interested urgent,1
+91-9144895859,itucker@example.com,531,51+,Married,161066,now maybe,0
+91-9280342402,mariastone@example.net,727,36-50,Single,481540,interested now,1
+91-9728657714,randolphadam@example.org,393,51+,Married,667660,interested maybe soon,1
+91-9308832657,saundersdarius@example.com,669,18-25,Single,226047,interested,1
+91-9012697791,brianjenkins@example.com,593,18-25,Single,299550,urgent immediately interested,0
+91-9273013982,roy93@example.org,806,26-35,Married,720712,maybe,1
+91-9702799745,john33@example.org,681,18-25,Single,942435,maybe immediately soon,1
+91-9016190963,brian59@example.net,313,36-50,Married with Kids,303203,maybe,0
+91-9169949097,richardwilliams@example.org,816,18-25,Married with Kids,911188,soon maybe later,1
+91-9203901923,millerbradley@example.com,720,18-25,Single,595326,urgent interested,0
+91-9319408809,felliott@example.org,534,51+,Married,988026,interested,1
+91-9543511136,ylam@example.net,726,36-50,Married,525213,not interested,0
+91-9719815176,bhanson@example.net,648,51+,Married,937906,not interested,0
+91-9699398967,haynesemily@example.org,608,26-35,Single,499238,urgent now not interested,1
+91-9403496255,hallryan@example.org,830,51+,Married,236045,interested soon,1
+91-9428190830,smithnicholas@example.net,557,18-25,Married with Kids,585177,urgent not interested,1
+91-9364521993,sheppardroy@example.com,315,36-50,Single,839436,soon,1
+91-9806228138,wstanton@example.org,542,51+,Married with Kids,618170,later urgent,1
+91-9970624825,brian68@example.org,311,26-35,Married,166208,later maybe urgent,0
+91-9851109800,jacobsjustin@example.net,321,18-25,Married,505959,interested not interested,0
+91-9100430330,kleonard@example.net,745,18-25,Married,434555,now,1
+91-9897101084,blakebuchanan@example.org,361,18-25,Single,667495,interested not interested,0
+91-9317846404,fcole@example.org,564,36-50,Married with Kids,260374,not interested soon later,0
+91-9537477028,reyesjames@example.com,419,36-50,Married with Kids,367735,immediately urgent,1
+91-9268393294,kbass@example.org,704,51+,Married with Kids,723394,not interested urgent,0
+91-9002019914,frank61@example.com,444,18-25,Single,392750,later interested,0
+91-9996008924,joseph19@example.net,492,51+,Married with Kids,797334,later not interested interested,0
+91-9240445472,brandonbutler@example.net,774,51+,Married with Kids,218507,interested,0
+91-9160077633,cameronjohnson@example.com,448,26-35,Married with Kids,425479,later,0
+91-9227726247,catherine16@example.org,707,36-50,Married,144300,not interested later maybe,0
+91-9597417799,perezkara@example.com,752,36-50,Single,294967,later interested,1
+91-9025120550,gilbertray@example.org,425,26-35,Married with Kids,202851,urgent immediately maybe,0
+91-9798792459,sherrybrown@example.net,660,36-50,Married with Kids,690132,soon,1
+91-9165031057,larry89@example.com,656,36-50,Married with Kids,499632,maybe urgent,0
+91-9398960486,adam65@example.net,645,51+,Married,795179,now,1
+91-9476767367,amanda91@example.net,586,36-50,Married with Kids,415120,now,0
+91-9884367463,andrewshepherd@example.net,331,51+,Married with Kids,487674,not interested,1
+91-9267174089,fmanning@example.com,757,51+,Single,741421,not interested immediately,1
+91-9395528277,barbara59@example.org,527,26-35,Single,855985,now urgent,0
+91-9934439666,john30@example.org,801,26-35,Married with Kids,968472,later,1
+91-9452674661,mary61@example.com,694,51+,Married,718264,maybe urgent,0
+91-9935049776,torresjoseph@example.org,585,36-50,Married,984494,now later interested,0
+91-9859161403,ybradford@example.net,639,51+,Married,908990,urgent immediately,1
+91-9392072561,petersonamanda@example.org,378,26-35,Married,536029,later maybe now,1
+91-9518350653,christinamyers@example.com,831,18-25,Married with Kids,670150,maybe interested,1
+91-9669167823,johnsonbrandy@example.net,311,51+,Single,717961,maybe not interested,0
+91-9887758270,madison49@example.org,341,26-35,Single,761529,later urgent now,1
+91-9775173434,kevin09@example.com,302,26-35,Single,905115,later,1
+91-9687973647,anthonyhuffman@example.com,733,18-25,Single,348917,not interested now,0
+91-9541677248,dmorrison@example.org,689,26-35,Married with Kids,796283,soon,0
+91-9400579277,reidjohn@example.org,825,26-35,Married,117055,now soon,0
+91-9931086207,lisa32@example.com,428,51+,Single,805848,not interested maybe,0
+91-9589802524,xbyrd@example.com,551,51+,Single,120872,interested not interested,0
+91-9591506229,ybush@example.org,765,36-50,Married with Kids,240092,now urgent,0
+91-9607068549,delgadobilly@example.com,373,26-35,Single,408477,not interested later maybe,0
+91-9462114397,sandrageorge@example.com,735,51+,Single,329764,maybe urgent immediately,0
